nombre,precio
Manzana Golden kg,1.92
Platano kg,1.53
Naranja kg,1.53
Tomate kg,2.39
Lechuga unidad,0.94
Zanahoria kg,1.26
Patata kg,0.91
Cebolla kg,1.18
Pimiento rojo kg,3.08
Pepino unidad,0.69
Brocoli kg,2.72
Coliflor unidad,1.86
Pechuga pollo kg,6.6
Carne picada ternera kg,8.15
Filete cerdo kg,4.99
Merluza kg,9.73
Salmon kg,12.51
Atun fresco kg,9.95
Jamon serrano 100g,3.67
Leche entera 1L,1.0
Yogur natural pack 4,1.56
Queso manchego 250g,5.01
Mantequilla 250g,2.26
Nata cocinar 200ml,0.77
Huevos docena,2.04
Pan barra 250g,0.58
Croissant unidad,1.04
Magdalenas pack 6,1.88
Galletas Maria 800g,1.99
Arroz 1kg,1.65
Pasta 500g,0.79
Aceite oliva 1L,5.65
Tomate frito 400g,1.1
Atun lata 3pack,3.34
Lentejas bote 500g,1.3
Garbanzos bote 500g,1.37
Agua mineral 1.5L,0.38
Coca Cola 2L,1.98
Zumo naranja 1L,1.58
Cerveza pack 6,4.53
Vino tinto botella,5.71
Cafe molido 250g,2.99
Detergente lavadora 40 dosis,8.01
Suavizante 1.5L,3.29
Lavavajillas 1L,2.1
Lejia 2L,1.42
Fregasuelos 1.5L,2.37
Papel cocina 3 rollos,3.56
Papel higienico 12 rollos,6.59
Servilletas pack 100,1.38
